Time[us],Temp1[C],Temp2[C],acc1x[m/s2],acc1y,acc1z,gyr1x[dps],gyr1y,gyr1z,acc2x,acc2y,acc2z,gyr2x,gyr2y,gyr2z,unc_acc1x,unc_acc1y,unc_acc1z,unc_gyr1x,unc_gyr1y,unc_gyr1z,unc_acc2x,unc_acc2y,unc_acc2z,unc_gyr2x,unc_gyr2y,unc_gyr2z,raw_float[0],raw_float[1],raw_float[2],raw_float[3],raw_float[4],raw_float[5],raw_float[6],raw_float[7],raw_float[8],raw_float[9],raw_float[10],raw_float[11],raw_float[12],raw_float[13],raw_float[14],raw_teensy_string
2632227732.0,31.44717979,32.78902054,-1.031038790205925,1.0930404044239748,9.901643618456156,0.0609758874312076,0.4878048076184803,1.036585502668168,-0.2503635966178215,-0.14243663893334943,9.763776205133153,-1.4634144228554409,0.30487829124044774,0.0609758874312076,-1.208625293444592,0.768985356555408,10.039334086555407,0.0609758874312076,0.4878048076184803,1.036585502668168,-0.357691408660192,-0.233192928660192,9.908645361339806,-1.4634144228554409,0.30487829124044774,0.0609758874312076,31.44717979,32.78902054,2632227732.0,-1.20188928,0.77572137,10.0460701,0.00106423,0.0085138,0.01809183,-0.34955344,-0.22505496,9.91678333,-0.0255414,0.00532113,0.00106423,$ ; 31.44717979 ; 32.78902054 ; 2632227732 ; -1.20188928 ; 0.77572137 ; 10.04607010 ; 0.00106423 ; 0.00851380 ; 0.01809183 ; -0.34955344 ; -0.22505496 ; 9.91678333 ; -0.02554140 ; 0.00532113 ; 0.00106423 ; %
2632233827.0,31.39925766,32.83694077,0.02555809528371269,-0.10798333685213447,9.712184154428433,-1.707316826664681,-1.1585367045727883,-0.9756096152369605,0.30775051255934843,-0.06315297252030025,9.625347521073175,-1.3414632209508206,0.0,0.0,-0.145549644403168,-0.437642244403168,9.843059805596832,-1.707316826664681,-1.1585367045727883,-0.9756096152369605,0.202501714283504,-0.156628545716496,9.764943334283503,-1.3414632209508206,0.0,0.0,31.39925766,32.83694077,2632233827.0,-0.1388637,-0.4309563,9.84974575,-0.0297983,-0.02022028,-0.0170276,0.21068975,-0.14844051,9.77313137,-0.02341295,0.0,0.0,$ ; 31.39925766 ; 32.83694077 ; 2632233827 ; -0.13886370 ; -0.43095630 ; 9.84974575 ; -0.02979830 ; -0.02022028 ; -0.01702760 ; 0.21068975 ; -0.14844051 ; 9.77313137 ; -0.02341295 ; 0.00000000 ; 0.00000000 ; %
2632239923.0,31.25548935,32.98071289,0.538459729775391,-0.7374581304428931,9.535226374502324,-1.8292680285693008,-3.3536589118137443,-0.6097560095231004,0.6758355017448642,-0.36870380408235276,9.676536667293426,-0.8536584133323405,0.0609758874312076,0.0,0.37174812472712004,-1.0695613252728802,9.66125086472712,-1.8292680285693008,-3.3536589118137443,-0.6097560095231004,0.5710585311725279,-0.463236578827472,9.812677111172528,-0.8536584133323405,0.0609758874312076,0.0,31.25548935,32.98071289,2632239923.0,0.37828386,-1.06302559,9.6677866,-0.03192675,-0.05853239,-0.01064225,0.57939678,-0.45489833,9.82101536,-0.01489915,0.00106423,0.0,$ ; 31.25548935 ; 32.98071289 ; 2632239923 ; 0.37828386 ; -1.06302559 ; 9.66778660 ; -0.03192675 ; -0.05853239 ; -0.01064225 ; 0.57939678 ; -0.45489833 ; 9.82101536 ; -0.01489915 ; 0.00106423 ; 0.00000000 ; %
2632246017.0,31.20756531,32.78902054,0.7744736093446999,-0.4877645092261624,9.649330779928539,-0.7317072114277204,-4.268292639619498,-1.3414632209508206,-0.26421332887099563,-0.3726983998012115,9.845112968932831,-0.8536584133323405,1.2195120190462008,0.3658536057138602,0.606429975764112,-0.820514224235888,9.781010905764113,-0.7317072114277204,-4.268292639619498,-1.3414632209508206,-0.372056628660192,-0.463036298660192,9.990048141339807,-0.8536584133323405,1.2195120190462008,0.3658536057138602,31.20756531,32.78902054,2632246017.0,0.61291564,-0.81402856,9.78749657,-0.0127707,-0.07449576,-0.02341295,-0.36391866,-0.45489833,9.99818611,-0.01489915,0.0212845,0.00638535,$ ; 31.20756531 ; 32.78902054 ; 2632246017 ; 0.61291564 ; -0.81402856 ; 9.78749657 ; -0.01277070 ; -0.07449576 ; -0.02341295 ; -0.36391866 ; -0.45489833 ; 9.99818611 ; -0.01489915 ; 0.02128450 ; 0.00638535 ; %
2632252111.0,31.39925766,33.02863312,0.6082910790312799,-0.273247850013633,9.719120886605772,-0.12195120190462007,-2.256097521714369,-0.6707318969543079,-0.7729976931557095,-0.04220286069399767,9.592414895291865,-0.30487829124044774,0.6707318969543079,0.0,0.438635585596832,-0.605236384403168,9.852636605596832,-0.12195120190462007,-2.256097521714369,-0.6707318969543079,-0.879877725883776,-0.132886805883776,9.740801064116225,-0.30487829124044774,0.6707318969543079,0.0,31.39925766,33.02863312,2632252111.0,0.44532153,-0.59855044,9.85932255,-0.00212845,-0.03937633,-0.01170648,-0.87148941,-0.12449849,9.74918938,-0.00532113,0.01170648,0.0,$ ; 31.39925766 ; 33.02863312 ; 2632252111 ; 0.44532153 ; -0.59855044 ; 9.85932255 ; -0.00212845 ; -0.03937633 ; -0.01170648 ; -0.87148941 ; -0.12449849 ; 9.74918938 ; -0.00532113 ; 0.01170648 ; 0.00000000 ; %
2632258207.0,31.20756531,32.78902054,0.04135188149977748,0.026365484445086424,9.791322636111417,0.4268294931450678,1.890243916000509,1.036585502668168,-1.1581934795678817,0.1943393829622906,9.774557693791031,-0.18292708933582766,0.7926830988589281,-0.30487829124044774,-0.13098415423588802,-0.30336668423588803,9.924662865764112,0.4268294931450678,1.890243916000509,1.036585502668168,-1.2674880286601922,0.10678371133980799,9.927798961339807,-0.18292708933582766,0.7926830988589281,-0.30487829124044774,31.20756531,32.78902054,2632258207.0,-0.12449849,-0.29688102,9.93114853,0.00744958,0.03299098,0.01809183,-1.25935006,0.11492168,9.93593693,-0.00319268,0.01383493,-0.00532113,$ ; 31.20756531 ; 32.78902054 ; 2632258207 ; -0.12449849 ; -0.29688102 ; 9.93114853 ; 0.00744958 ; 0.03299098 ; 0.01809183 ; -1.25935006 ; 0.11492168 ; 9.93593693 ; -0.00319268 ; 0.01383493 ; -0.00532113 ; %
2632264303.0,31.11172104,32.69317245,-1.0830166589103856,0.27210303633874733,9.981419366381957,1.036585502668168,3.2317071369513295,0.4268294931450678,-0.8001751530169675,-0.10538563225153914,9.735470428213379,-0.914634300763548,0.5487806950496878,-0.12195120190462007,-1.2609471861425918,-0.054269556142592,10.111510553857407,1.036585502668168,3.2317071369513295,0.4268294931450678,-0.90825768657576,-0.19478555657576,9.884803513424242,-0.914634300763548,0.5487806950496878,-0.12195120190462007,31.11172104,32.69317245,2632264303.0,-1.25456166,-0.04788403,10.11789608,0.01809183,0.05640393,0.00744958,-0.90021986,-0.18674773,9.89284134,-0.01596338,0.00957803,-0.00212845,$ ; 31.11172104 ; 32.69317245 ; 2632264303 ; -1.25456166 ; -0.04788403 ; 10.11789608 ; 0.01809183 ; 0.05640393 ; 0.00744958 ; -0.90021986 ; -0.18674773 ; 9.89284134 ; -0.01596338 ; 0.00957803 ; -0.00212845 ; %
2632270399.0,31.25548935,32.78902054,-1.0265788437440573,0.3435064074377098,9.923419388931983,0.12195120190462007,2.134146319809749,1.2804879064774084,-1.8274043709888326,-0.046809874050070956,9.798177278362424,-0.9756096152369605,1.036585502668168,-0.0609758874312076,-1.2036366152728801,0.01740628472712,10.05389956472712,0.12195120190462007,2.134146319809749,1.2804879064774084,-1.937864568660192,-0.132636458660192,9.956529351339807,-0.9756096152369605,1.036585502668168,-0.0609758874312076,31.25548935,32.78902054,2632270399.0,-1.19710088,0.02394202,10.0604353,0.00212845,0.03724788,0.02234873,-1.9297266,-0.12449849,9.96466732,-0.0170276,0.01809183,-0.00106423,$ ; 31.25548935 ; 32.78902054 ; 2632270399 ; -1.19710088 ; 0.02394202 ; 10.06043530 ; 0.00212845 ; 0.03724788 ; 0.02234873 ; -1.92972660 ; -0.12449849 ; 9.96466732 ; -0.01702760 ; 0.01809183 ; -0.00106423 ; %
2632276496.0,31.44717979,32.98071289,-1.4544392900910879,0.4127312896175706,9.741177585377107,-0.4268294931450678,2.9268294186686767,0.12195120190462007,-1.9331733374008957,-0.2861294846768477,9.773873350355606,-1.3414632209508206,0.12195120190462007,-0.18292708933582766,-1.630004733444592,0.089032046555408,9.866951726555406,-0.4268294931450678,2.9268294186686767,0.12195120190462007,-2.043409618827472,-0.372256908827472,9.932387081172527,-1.3414632209508206,0.12195120190462007,-0.18292708933582766,31.44717979,32.98071289,2632276496.0,-1.62326872,0.09576806,9.87368774,-0.00744958,0.05108281,0.00212845,-2.03507137,-0.36391866,9.94072533,-0.02341295,0.00212845,-0.00319268,$ ; 31.44717979 ; 32.98071289 ; 2632276496 ; -1.62326872 ; 0.09576806 ; 9.87368774 ; -0.00744958 ; 0.05108281 ; 0.00212845 ; -2.03507137 ; -0.36391866 ; 9.94072533 ; -0.02341295 ; 0.00212845 ; -0.00319268 ; %
2632282590.0,31.30341148,32.98071289,-1.5359232952638069,-0.5232972585116533,9.784278249225427,-1.0975608171415807,3.6585366300963975,1.707316826664681,-0.5248621217997324,-0.3471909372646974,9.566664840385956,-0.914634300763548,-0.4268294931450678,-0.12195120190462007,-1.7112574243143042,-0.849344814314304,9.900620735685697,-1.0975608171415807,3.6585366300963975,1.707316826664681,-0.630830678827472,-0.439294548827472,9.712120731172527,-0.914634300763548,-0.4268294931450678,-0.12195120190462007,31.30341148,32.98071289,2632282590.0,-1.70467162,-0.84275901,9.90720654,-0.01915605,0.06385351,0.0297983,-0.62249243,-0.4309563,9.72045898,-0.01596338,-0.00744958,-0.00212845,$ ; 31.30341148 ; 32.98071289 ; 2632282590 ; -1.70467162 ; -0.84275901 ; 9.90720654 ; -0.01915605 ; 0.06385351 ; 0.02979830 ; -0.62249243 ; -0.43095630 ; 9.72045898 ; -0.01596338 ; -0.00744958 ; -0.00212845 ; %
