Time[us],Temp1[C],Temp2[C],acc1x[m/s2],acc1y,acc1z,gyr1x[dps],gyr1y,gyr1z,acc2x,acc2y,acc2z,gyr2x,gyr2y,gyr2z,encoder,corrected encoder,unc_acc1x,unc_acc1y,unc_acc1z,unc_gyr1x,unc_gyr1y,unc_gyr1z,unc_acc2x,unc_acc2y,unc_acc2z,unc_gyr2x,unc_gyr2y,unc_gyr2z,raw_float[0],raw_float[1],raw_float[2],raw_float[3],raw_float[4],raw_float[5],raw_float[6],raw_float[7],raw_float[8],raw_float[9],raw_float[10],raw_float[11],raw_float[12],raw_float[13],raw_float[14],raw_float[15],raw_teensy_string
11470073661.0,26.17566681,25.50474739,5.214486246188206,0.12270672457410392,8.354295374354045,0.0609758874312076,-0.4878048076184803,0.24390240380924014,-0.017971551844075433,0.06666267465883671,9.758482552083638,-0.914634300763548,0.5487806950496878,0.0609758874312076,33.65979195,30.736999519999998,5.0744791033169125,-0.216706486683088,8.507764813316912,0.0609758874312076,-0.4878048076184803,0.24390240380924014,-0.12502585007307201,-0.024469380073072002,9.901890779926928,-0.914634300763548,0.5487806950496878,0.0609758874312076,26.17566681,25.50474739,11470073661.0,5.07570744,-0.21547815,8.50899315,0.00106423,-0.0085138,0.0042569,-0.12449849,-0.02394202,9.90241814,-0.01596338,0.00957803,0.00106423,33.65979195,$ ; 26.17566681 ; 25.50474739 ; 11470073661 ; 5.07570744 ; -0.21547815 ; 8.50899315 ; 0.00106423 ; -0.00851380 ; 0.00425690 ; -0.12449849 ; -0.02394202 ; 9.90241814 ; -0.01596338 ; 0.00957803 ; 0.00106423 ; 33.65979195 ; %
11470110157.0,25.98397636,25.50474739,5.271901759040628,0.08008450487724472,8.349777249364493,-0.18292708933582766,-0.5487806950496878,0.12195120190462007,-0.051369422163591714,-0.0004927636614783775,9.772643824718774,-0.7926830988589281,0.4268294931450678,0.18292708933582766,33.66631508,30.743522649999996,5.1321401614990725,-0.259601828500928,8.503176691499071,-0.18292708933582766,-0.5487806950496878,0.12195120190462007,-0.158544670073072,-0.091507030073072,9.916255969926928,-0.7926830988589281,0.4268294931450678,0.18292708933582766,25.98397636,25.50474739,11470110157.0,5.13316822,-0.25857377,8.50420475,-0.00319268,-0.00957803,0.00212845,-0.15801731,-0.09097967,9.91678333,-0.01383493,0.00744958,0.00319268,33.66631508,$ ; 25.98397636 ; 25.50474739 ; 11470110157 ; 5.13316822 ; -0.25857377 ; 8.50420475 ; -0.00319268 ; -0.00957803 ; 0.00212845 ; -0.15801731 ; -0.09097967 ; 9.91678333 ; -0.01383493 ; 0.00744958 ; 0.00319268 ; 33.66631508 ; %
11470124454.0,25.79228401,25.45682526,5.205028154290305,0.1468477751929242,8.330876876993406,-0.18292708933582766,-0.4878048076184803,0.7317072114277204,-0.03192109285607255,0.042378363023728556,9.801309319235159,-0.914634300763548,0.4878048076184803,0.0,33.67300987,30.75021744,5.0653028616663525,-0.192363908333648,8.48422338166635,-0.18292708933582766,-0.4878048076184803,0.7317072114277204,-0.13934099103164801,-0.048361321031647996,9.945036438968351,-0.914634300763548,0.4878048076184803,0.0,25.79228401,25.45682526,11470124454.0,5.06613064,-0.19153613,8.48505116,-0.00319268,-0.0085138,0.0127707,-0.1388637,-0.04788403,9.94551373,-0.01596338,0.0085138,0.0,33.67300987,$ ; 25.79228401 ; 25.45682526 ; 11470124454 ; 5.06613064 ; -0.19153613 ; 8.48505116 ; -0.00319268 ; -0.00851380 ; 0.01277070 ; -0.13886370 ; -0.04788403 ; 9.94551373 ; -0.01596338 ; 0.00851380 ; 0.00000000 ; 33.67300987 ; %
11470140751.0,26.0318985,25.45682526,5.171266468986477,0.14169203293918167,8.32619310570072,-0.18292708933582766,-0.3658536057138602,0.0,0.04912100047068009,0.014132708685579337,9.77824502219919,-1.036585502668168,0.3658536057138602,0.18292708933582766,33.67987633,30.757083899999998,5.0315337224472,-0.19740266755279998,8.4791846324472,-0.18292708933582766,-0.3658536057138602,0.0,-0.057938131031647994,-0.077091741031648,9.921094438968352,-1.036585502668168,0.3658536057138602,0.18292708933582766,26.0318985,25.45682526,11470140751.0,5.03261185,-0.19632454,8.48026276,-0.00319268,-0.00638535,0.0,-0.05746084,-0.07661445,9.92157173,-0.01809183,0.00638535,0.00319268,33.67987633,$ ; 26.03189850 ; 25.45682526 ; 11470140751 ; 5.03261185 ; -0.19632454 ; 8.48026276 ; -0.00319268 ; -0.00638535 ; 0.00000000 ; -0.05746084 ; -0.07661445 ; 9.92157173 ; -0.01809183 ; 0.00638535 ; 0.00319268 ; 33.67987633 ; %
11470155245.0,26.12774467,25.79228401,5.195016592772134,0.10823578002320827,8.326256179844188,-0.12195120190462007,-0.3658536057138602,0.12195120190462007,-0.018004933727123924,0.00386569622830053,9.79640641251191,-0.6707318969543079,0.5487806950496878,0.12195120190462007,33.68657112,30.763778690000002,5.055375572368784,-0.231021627631216,8.479084492368784,-0.12195120190462007,-0.3658536057138602,0.12195120190462007,-0.12532626833364802,-0.087019038333648,9.93989755166635,-0.6707318969543079,0.5487806950496878,0.12195120190462007,26.12774467,25.79228401,11470155245.0,5.05655384,-0.22984336,8.48026276,-0.00212845,-0.00638535,0.00212845,-0.12449849,-0.08619126,9.94072533,-0.01170648,0.00957803,0.00212845,33.68657112,$ ; 26.12774467 ; 25.79228401 ; 11470155245 ; 5.05655384 ; -0.22984336 ; 8.48026276 ; -0.00212845 ; -0.00638535 ; 0.00212845 ; -0.12449849 ; -0.08619126 ; 9.94072533 ; -0.01170648 ; 0.00957803 ; 0.00212845 ; 33.68657112 ; %
11470171541.0,26.12774467,25.60059357,5.238278116005969,0.11323664653720164,8.344811928406939,0.18292708933582766,-0.24390240380924014,0.30487829124044774,-0.013167340385204281,0.023374609575054304,9.777561805340524,-0.7317072114277204,0.4878048076184803,0.30487829124044774,33.69318008,30.770387649999996,5.098471162368784,-0.226233227631216,8.498238082368784,0.18292708933582766,-0.24390240380924014,0.30487829124044774,-0.120337590161936,-0.067665150161936,9.920944229838064,-0.7317072114277204,0.4878048076184803,0.30487829124044774,26.12774467,25.60059357,11470171541.0,5.09964943,-0.22505496,8.49941635,0.00319268,-0.0042569,0.00532113,-0.11971009,-0.06703765,9.92157173,-0.0127707,0.0085138,0.00532113,33.69318008,$ ; 26.12774467 ; 25.60059357 ; 11470171541 ; 5.09964943 ; -0.22505496 ; 8.49941635 ; 0.00319268 ; -0.00425690 ; 0.00532113 ; -0.11971009 ; -0.06703765 ; 9.92157173 ; -0.01277070 ; 0.00851380 ; 0.00532113 ; 33.69318008 ; %
11470206037.0,26.12774467,25.60059357,5.196020483109221,0.1133441227900514,8.39712560622728,0.0609758874312076,-0.12195120190462007,0.4878048076184803,0.010923647377872728,-0.03897193889151645,9.80646276748169,-0.9756096152369605,0.914634300763548,0.0,33.69987488,30.77708245,5.055375572368784,-0.226233227631216,8.550910472368784,0.0609758874312076,-0.12195120190462007,0.4878048076184803,-0.096395560161936,-0.12991439016193598,9.949674619838063,-0.9756096152369605,0.914634300763548,0.0,26.12774467,25.60059357,11470206037.0,5.05655384,-0.22505496,8.55208874,0.00106423,-0.00212845,0.0085138,-0.09576806,-0.12928689,9.95030212,-0.0170276,0.01596338,0.0,33.69987488,$ ; 26.12774467 ; 25.60059357 ; 11470206037 ; 5.05655384 ; -0.22505496 ; 8.55208874 ; 0.00106423 ; -0.00212845 ; 0.00851380 ; -0.09576806 ; -0.12928689 ; 9.95030212 ; -0.01702760 ; 0.01596338 ; 0.00000000 ; 33.69987488 ; %
11470222335.0,26.12774467,25.45682526,5.189977973924553,0.11290788331316977,8.30733192470888,0.12195120190462007,-0.3658536057138602,0.18292708933582766,0.03012818450994382,-0.02434080815345979,9.797216823872892,-0.8536584133323405,0.6097560095231004,0.18292708933582766,33.70639801,30.78360558,5.050587172368783,-0.226233227631216,8.459930892368783,0.12195120190462007,-0.3658536057138602,0.18292708933582766,-0.077091741031648,-0.11539897103164799,9.94024803896835,-0.8536584133323405,0.6097560095231004,0.18292708933582766,26.12774467,25.45682526,11470222335.0,5.05176544,-0.22505496,8.46110916,0.00212845,-0.00638535,0.00319268,-0.07661445,-0.11492168,9.94072533,-0.01489915,0.01064225,0.00319268,33.70639801,$ ; 26.12774467 ; 25.45682526 ; 11470222335 ; 5.05176544 ; -0.22505496 ; 8.46110916 ; 0.00212845 ; -0.00638535 ; 0.00319268 ; -0.07661445 ; -0.11492168 ; 9.94072533 ; -0.01489915 ; 0.01064225 ; 0.00319268 ; 33.70639801 ; %
11470236633.0,25.98397636,25.40890121,5.2378397717183,0.12273997986738275,8.302312936765874,-0.12195120190462007,-0.24390240380924014,0.3658536057138602,-0.03190281919377158,0.05203326001300118,9.796577155339644,-0.9756096152369605,0.4268294931450678,0.18292708933582766,33.71283531,30.79004288,5.098621371499073,-0.21650620850092803,8.455292701499072,-0.12195120190462007,-0.24390240380924014,0.3658536057138602,-0.139290919984208,-0.038734449984208,9.940298110015792,-0.9756096152369605,0.4268294931450678,0.18292708933582766,25.98397636,25.40890121,11470236633.0,5.09964943,-0.21547815,8.45632076,-0.00212845,-0.0042569,0.00638535,-0.1388637,-0.03830723,9.94072533,-0.0170276,0.00744958,0.00319268,33.71283531,$ ; 25.98397636 ; 25.40890121 ; 11470236633 ; 5.09964943 ; -0.21547815 ; 8.45632076 ; -0.00212845 ; -0.00425690 ; 0.00638535 ; -0.13886370 ; -0.03830723 ; 9.94072533 ; -0.01702760 ; 0.00744958 ; 0.00319268 ; 33.71283531 ; %
11470253130.0,26.0318985,25.60059357,5.20435452898225,0.05574314299552118,8.307894484165017,-0.0609758874312076,-0.3658536057138602,0.0,0.03954113183765674,0.028170346727682632,9.792262215173766,-1.2195120190462008,0.6097560095231004,0.24390240380924014,33.71910095,30.796308519999997,5.0650525124472,-0.2835939175528,8.4600310324472,-0.0609758874312076,-0.3658536057138602,0.0,-0.067665150161936,-0.06287674016193599,9.935309429838064,-1.2195120190462008,0.6097560095231004,0.24390240380924014,26.0318985,25.60059357,11470253130.0,5.06613064,-0.28251579,8.46110916,-0.00106423,-0.00638535,0.0,-0.06703765,-0.06224924,9.93593693,-0.0212845,0.01064225,0.0042569,33.71910095,$ ; 26.03189850 ; 25.60059357 ; 11470253130 ; 5.06613064 ; -0.28251579 ; 8.46110916 ; -0.00106423 ; -0.00638535 ; 0.00000000 ; -0.06703765 ; -0.06224924 ; 9.93593693 ; -0.02128450 ; 0.01064225 ; 0.00425690 ; 33.71910095 ; %
