Time[us],Temp1[C],Temp2[C],acc1x[m/s2],acc1y,acc1z,gyr1x[dps],gyr1y,gyr1z,acc2x,acc2y,acc2z,gyr2x,gyr2y,gyr2z,encoder,corrected encoder,unc_acc1x,unc_acc1y,unc_acc1z,unc_gyr1x,unc_gyr1y,unc_gyr1z,unc_acc2x,unc_acc2y,unc_acc2z,unc_gyr2x,unc_gyr2y,unc_gyr2z,raw_float[0],raw_float[1],raw_float[2],raw_float[3],raw_float[4],raw_float[5],raw_float[6],raw_float[7],raw_float[8],raw_float[9],raw_float[10],raw_float[11],raw_float[12],raw_float[13],raw_float[14],raw_float[15],raw_teensy_string
10154731414.0,26.31943512,25.31305504,0.30448875520699603,-0.08226039678120299,9.80502155911399,0.0,0.4878048076184803,0.24390240380924014,0.015833488215396173,0.04287543864749761,9.778053098813576,-1.1585367045727883,0.6707318969543079,0.30487829124044774,3.03694725,0.0,0.132696754186624,-0.41318122581337596,9.939346784186624,0.0,0.4878048076184803,0.24390240380924014,-0.09130674990579199,-0.048211109905792006,9.92124465009421,-1.1585367045727883,0.6707318969543079,0.30487829124044774,26.31943512,25.31305504,10154731414.0,0.1340753,-0.41180268,9.94072533,0.0,0.0085138,0.0042569,-0.09097967,-0.04788403,9.92157173,-0.02022028,0.01170648,0.00532113,3.03694725,$ ; 26.31943512 ; 25.31305504 ; 10154731414 ; 0.13407530 ; -0.41180268 ; 9.94072533 ; 0.00000000 ; 0.00851380 ; 0.00425690 ; -0.09097967 ; -0.04788403 ; 9.92157173 ; -0.02022028 ; 0.01170648 ; 0.00532113 ; 3.03694725 ; %
10154776512.0,26.12774467,25.21721077,0.289343361728253,0.036916288617722316,9.723762746427498,0.0609758874312076,0.7317072114277204,0.12195120190462007,0.011150478707310259,-0.009672241470534283,9.782996921079297,-0.6707318969543079,0.6097560095231004,0.12195120190462007,3.03694725,0.0,0.11853182236878401,-0.293270887631216,9.858144282368784,0.0609758874312076,0.7317072114277204,0.12195120190462007,-0.09599500181249601,-0.100783411812496,9.926133188187505,-0.6707318969543079,0.6097560095231004,0.12195120190462007,26.12774467,25.21721077,10154776512.0,0.11971009,-0.29209262,9.85932255,0.00106423,0.0127707,0.00212845,-0.09576806,-0.10055647,9.92636013,-0.01170648,0.01064225,0.00212845,3.03694725,$ ; 26.12774467 ; 25.21721077 ; 10154776512 ; 0.11971009 ; -0.29209262 ; 9.85932255 ; 0.00106423 ; 0.01277070 ; 0.00212845 ; -0.09576806 ; -0.10055647 ; 9.92636013 ; -0.01170648 ; 0.01064225 ; 0.00212845 ; 3.03694725 ; %
10155027306.0,25.98397636,25.60059357,0.290644203940876,-0.015068720278688543,9.809529353311186,0.0609758874312076,0.4878048076184803,0.30487829124044774,0.015663471296131593,0.008937428645868294,9.796870434545202,-0.8536584133323405,0.4878048076184803,0.6707318969543079,3.03694725,0.0,0.11868203149907201,-0.34579309850092804,9.944485671499072,0.0609758874312076,0.4878048076184803,0.30487829124044774,-0.091607170161936,-0.08203036016193599,9.940097829838063,-0.8536584133323405,0.4878048076184803,0.6707318969543079,25.98397636,25.60059357,10155027306.0,0.11971009,-0.34476504,9.94551373,0.00106423,0.0085138,0.00532113,-0.09097967,-0.08140286,9.94072533,-0.01489915,0.0085138,0.01170648,3.03694725,$ ; 25.98397636 ; 25.60059357 ; 10155027306 ; 0.11971009 ; -0.34476504 ; 9.94551373 ; 0.00106423 ; 0.00851380 ; 0.00532113 ; -0.09097967 ; -0.08140286 ; 9.94072533 ; -0.01489915 ; 0.00851380 ; 0.01170648 ; 3.03694725 ; %
10155060101.0,26.17566681,25.21721077,0.2762674218269066,0.008608384250487326,9.818656567351189,0.0,0.5487806950496878,0.24390240380924014,-0.045929344351315564,-0.005352229536912878,9.815833259973603,-0.7317072114277204,0.30487829124044774,0.18292708933582766,3.03694725,0.0,0.104116543316912,-0.32205134668308805,9.953862183316913,0.0,0.5487806950496878,0.24390240380924014,-0.153455851812496,-0.09599500181249601,9.959651978187503,-0.7317072114277204,0.30487829124044774,0.18292708933582766,26.17566681,25.21721077,10155060101.0,0.10534488,-0.32082301,9.95509052,0.0,0.00957803,0.0042569,-0.15322891,-0.09576806,9.95987892,-0.0127707,0.00532113,0.00319268,3.03694725,$ ; 26.17566681 ; 25.21721077 ; 10155060101 ; 0.10534488 ; -0.32082301 ; 9.95509052 ; 0.00000000 ; 0.00957803 ; 0.00425690 ; -0.15322891 ; -0.09576806 ; 9.95987892 ; -0.01277070 ; 0.00532113 ; 0.00319268 ; 3.03694725 ; %
10155141472.0,26.12774467,25.50474739,0.28958023871162125,-0.06326687040960123,9.748395795499832,-0.18292708933582766,0.7926830988589281,0.3658536057138602,-0.02244648722208256,-0.0006736679171363632,9.801438557918079,-0.6707318969543079,0.8536584133323405,0.3658536057138602,3.03694725,0.0,0.11853182236878401,-0.39382734763121596,9.882086272368785,-0.18292708933582766,0.7926830988589281,0.3658536057138602,-0.12981425007307199,-0.091507030073072,9.944986369926928,-0.6707318969543079,0.8536584133323405,0.3658536057138602,26.12774467,25.50474739,10155141472.0,0.11971009,-0.39264908,9.88326454,-0.00319268,0.01383493,0.00638535,-0.12928689,-0.09097967,9.94551373,-0.01170648,0.01489915,0.00638535,3.03694725,$ ; 26.12774467 ; 25.50474739 ; 10155141472 ; 0.11971009 ; -0.39264908 ; 9.88326454 ; -0.00319268 ; 0.01383493 ; 0.00638535 ; -0.12928689 ; -0.09097967 ; 9.94551373 ; -0.01170648 ; 0.01489915 ; 0.00638535 ; 3.03694725 ; %
10155155770.0,26.31943512,25.60059357,0.29935354266176173,-0.039425394171717636,9.776263016317214,-0.18292708933582766,0.7317072114277204,-0.18292708933582766,0.03482113693908144,0.004165778178905874,9.801798589369264,-1.036585502668168,0.4878048076184803,0.12195120190462007,3.03686142,-8.58299999997314e-05,0.12790834418662397,-0.37008560581337596,9.910616384186625,-0.18292708933582766,0.7317072114277204,-0.18292708933582766,-0.072453550161936,-0.086818760161936,9.944886229838064,-1.036585502668168,0.4878048076184803,0.12195120190462007,26.31943512,25.60059357,10155155770.0,0.12928689,-0.36870706,9.91199493,-0.00319268,0.0127707,-0.00319268,-0.07182605,-0.08619126,9.94551373,-0.01809183,0.0085138,0.00212845,3.03686142,$ ; 26.31943512 ; 25.60059357 ; 10155155770 ; 0.12928689 ; -0.36870706 ; 9.91199493 ; -0.00319268 ; 0.01277070 ; -0.00319268 ; -0.07182605 ; -0.08619126 ; 9.94551373 ; -0.01809183 ; 0.00851380 ; 0.00212845 ; 3.03686142 ; %
10155206565.0,25.98397636,25.50474739,0.3002942250625149,-0.053201327520288055,9.81929517673532,0.12195120190462007,0.8536584133323405,0.18292708933582766,-0.06067718880660924,-0.03428891743016032,9.805962509640418,-0.8536584133323405,0.6707318969543079,0.3658536057138602,3.03686142,-8.58299999997314e-05,0.12825883149907197,-0.384100318500928,9.954062461499072,0.12195120190462007,0.8536584133323405,0.18292708933582766,-0.168121480073072,-0.12502585007307201,9.949774759926928,-0.8536584133323405,0.6707318969543079,0.3658536057138602,25.98397636,25.50474739,10155206565.0,0.12928689,-0.38307226,9.95509052,0.00212845,0.01489915,0.00319268,-0.16759412,-0.12449849,9.95030212,-0.01489915,0.01170648,0.00638535,3.03686142,$ ; 25.98397636 ; 25.50474739 ; 10155206565 ; 0.12928689 ; -0.38307226 ; 9.95509052 ; 0.00212845 ; 0.01489915 ; 0.00319268 ; -0.16759412 ; -0.12449849 ; 9.95030212 ; -0.01489915 ; 0.01170648 ; 0.00638535 ; 3.03686142 ; %
10155223064.0,26.0318985,25.40890121,0.29934997353875464,-0.08219519621874354,9.758069437180362,0.24390240380924014,0.7926830988589281,0.0,0.01577710397842089,-0.0003391823902979389,9.78757339729032,-0.7317072114277204,0.5487806950496878,0.12195120190462007,3.03686142,-8.58299999997314e-05,0.1282087624472,-0.4128808075528,9.8917632124472,0.24390240380924014,0.7926830988589281,0.0,-0.091406889984208,-0.091406889984208,9.930721310015793,-0.7317072114277204,0.5487806950496878,0.12195120190462007,26.0318985,25.40890121,10155223064.0,0.12928689,-0.41180268,9.89284134,0.0042569,0.01383493,0.0,-0.09097967,-0.09097967,9.93114853,-0.0127707,0.00957803,0.00212845,3.03686142,$ ; 26.03189850 ; 25.40890121 ; 10155223064 ; 0.12928689 ; -0.41180268 ; 9.89284134 ; 0.00425690 ; 0.01383493 ; 0.00000000 ; -0.09097967 ; -0.09097967 ; 9.93114853 ; -0.01277070 ; 0.00957803 ; 0.00212845 ; 3.03686142 ; %
10155237363.0,26.0318985,25.2651329,0.31963982177982975,-0.029222917205918207,9.83778413062625,0.0609758874312076,0.7317072114277204,0.3658536057138602,-0.012954380816986803,-5.255175257436723e-05,9.763688710951447,-0.914634300763548,0.6097560095231004,0.12195120190462007,3.03677559,-0.0001716599999999069,0.1473623824472,-0.3602083875528,9.9731659924472,0.0609758874312076,0.7317072114277204,0.3658536057138602,-0.11998710085392002,-0.09125668085392001,9.906929529146081,-0.914634300763548,0.6097560095231004,0.12195120190462007,26.0318985,25.2651329,10155237363.0,0.14844051,-0.35913026,9.97424412,0.00106423,0.0127707,0.00638535,-0.11971009,-0.09097967,9.90720654,-0.01596338,0.01064225,0.00212845,3.03677559,$ ; 26.03189850 ; 25.26513290 ; 10155237363 ; 0.14844051 ; -0.35913026 ; 9.97424412 ; 0.00106423 ; 0.01277070 ; 0.00638535 ; -0.11971009 ; -0.09097967 ; 9.90720654 ; -0.01596338 ; 0.01064225 ; 0.00212845 ; 3.03677559 ; %
10155253663.0,25.93605232,25.45682526,0.265956840875296,-0.07267092148404791,9.753583729828938,0.0609758874312076,0.914634300763548,0.0609758874312076,-0.05567445583285834,0.02779650266497501,9.820185862673018,-0.914634300763548,0.4878048076184803,0.6097560095231004,3.03686142,-8.58299999997314e-05,0.094790072536064,-0.40320386746393594,9.887074952536064,0.0609758874312076,0.914634300763548,0.0609758874312076,-0.163283011031648,-0.06272653103164799,9.964190028968352,-0.914634300763548,0.4878048076184803,0.6097560095231004,25.93605232,25.45682526,10155253663.0,0.09576806,-0.40222588,9.88805294,0.00106423,0.01596338,0.00106423,-0.16280572,-0.06224924,9.96466732,-0.01596338,0.0085138,0.01064225,3.03686142,$ ; 25.93605232 ; 25.45682526 ; 10155253663 ; 0.09576806 ; -0.40222588 ; 9.88805294 ; 0.00106423 ; 0.01596338 ; 0.00106423 ; -0.16280572 ; -0.06224924 ; 9.96466732 ; -0.01596338 ; 0.00851380 ; 0.01064225 ; 3.03686142 ; %
